politica,mezcla,run,app,ipc,nucleos,tiempo
0,16,1,wrf,2.815135792947115,0,60.0
0,16,1,povray,2.995638679678555,0,59.8
0,16,1,xalancbmk,2.653391317354504,0,60.2
0,16,1,calculix,2.209268308298648,0,59.8
0,16,1,mcf,0.6880519516301623,0,117.2
0,16,1,bwaves,1.9531310785343998,0,120.6
0,16,1,deepsjeng_r,1.8324551602403099,0,85.2
0,16,1,sphinx3,1.5115955568983228,0,105.8
0,16,2,wrf,2.8132404699661198,0,60.0
0,16,2,povray,2.9898490987305113,0,59.8
0,16,2,xalancbmk,2.6543987183899476,0,60.2
0,16,2,calculix,2.2118333740269627,0,59.8
0,16,2,mcf,0.6915718514041125,0,116.6
0,16,2,bwaves,1.9536509035017284,0,120.6
0,16,2,deepsjeng_r,1.833218211858018,0,85.0
0,16,2,sphinx3,1.5115736733055753,0,105.8
0,17,1,dealII,3.068642774015683,0,60.2
0,17,1,gcc,2.189302009695717,0,63.2
0,17,1,sphinx3,1.7066677418895893,1,105.2
0,17,1,wrf,2.762237246846224,0,60.8
0,17,1,tonto,1.801427578987225,0,112.6
0,17,1,sjeng,1.7544745270968791,0,87.8
0,17,1,sphinx3REPEAT,1.5720272521838878,0,59.8
0,17,1,cactusADM,0.7874271268666252,0,87.4
0,17,2,dealII,3.0690828687131524,0,60.2
0,17,2,gcc,2.18778542201973,0,63.4
0,17,2,sphinx3,1.706309866406154,1,105.2
0,17,2,wrf,2.7644105917269237,0,60.6
0,17,2,tonto,1.804601144267611,0,112.4
0,17,2,sjeng,1.7550734952372204,0,87.8
0,17,2,sphinx3REPEAT,1.5733981269969872,0,59.8
0,17,2,cactusADM,0.7885031317463715,0,87.4
0,18,1,dealII,3.084462001702153,0,59.6
0,18,1,bzip2,1.6939594943516036,0,57.8
0,18,1,omnetpp_r,0.8402665246705789,0,59.8
0,18,1,leslie3d,3.3384269643721,0,53.6
0,18,1,povray,2.155528410011739,0,114.0
0,18,1,GemsFDTD,1.881329559960209,0,111.4
0,18,1,GemsFDTDREPEAT,1.880785484561845,0,111.4
0,18,1,povray_r,2.6303111499180645,0,125.4
0,18,2,dealII,3.0839448027620797,0,59.6
0,18,2,bzip2,1.6316358191156586,0,60.0
0,18,2,omnetpp_r,0.8302839604285429,0,60.6
0,18,2,leslie3d,3.078210960655968,0,58.2
0,18,2,povray,2.154589778531894,0,114.0
0,18,2,GemsFDTD,1.879562505696357,0,111.4
0,18,2,GemsFDTDREPEAT,1.8798741003991066,0,111.4
0,18,2,povray_r,2.6351843048598083,0,125.2
4,16,1,wrf,2.466962140311629,16,73.2
4,16,1,povray,2.9210203050437245,14,60.8
4,16,1,xalancbmk,2.6905327893468614,14,59.0
4,16,1,calculix,1.8560870491754482,20,85.4
4,16,1,mcf,0.8442133571971158,17,78.8
4,16,1,bwaves,2.4968963038662304,17,78.0
4,16,1,deepsjeng_r,1.871385811599346,18,75.6
4,16,1,sphinx3,1.7862012977574206,16,73.0
4,16,2,wrf,2.6090155296901214,15,66.2
4,16,2,povray,2.9195852805167486,14,60.8
4,16,2,xalancbmk,2.6918881583112513,14,59.0
4,16,2,calculix,1.8567614250400928,20,85.4
4,16,2,mcf,0.7369453935870076,21,94.2
4,16,2,bwaves,2.4713849086567574,17,78.8
4,16,2,deepsjeng_r,1.8752550053182464,18,75.6
4,16,2,sphinx3,1.7877879931223335,16,73.0
4,17,1,dealII,3.0007687362201403,15,64.4
4,17,1,gcc,2.125626280163837,16,72.0
4,17,1,sphinx3,1.6342494027067427,20,83.4
4,17,1,wrf,2.476389322712352,16,73.0
4,17,1,tonto,2.308292564345791,15,67.8
4,17,1,sjeng,1.7460189677601028,18,80.6
4,17,1,sphinx3REPEAT,1.9502460707385447,13,61.6
4,17,1,cactusADM,0.9151231112514898,14,62.4
4,17,2,dealII,2.9478662720295374,15,68.0
4,17,2,gcc,2.087205552066557,16,73.0
4,17,2,sphinx3,1.7847552346988045,16,72.2
4,17,2,wrf,2.4994800936485473,16,72.2
4,17,2,tonto,2.2731412145431804,15,70.6
4,17,2,sjeng,1.7667746986400055,18,77.0
4,17,2,sphinx3REPEAT,1.8316525154106342,16,67.8
4,17,2,cactusADM,0.9171716679527535,14,62.2
4,18,1,dealII,2.945516440704288,16,65.4
4,18,1,bzip2,1.5771491162985583,16,72.6
4,18,1,omnetpp_r,0.7066408809273955,19,86.2
4,18,1,leslie3d,2.598449538838961,19,83.0
4,18,1,povray,2.8989157692119463,13,61.8
4,18,1,GemsFDTD,2.1662649979016386,20,83.4
4,18,1,GemsFDTDREPEAT,2.1214499035723473,16,66.8
4,18,1,povray_r,3.864099232158404,13,62.4
4,18,2,dealII,2.919695507759626,16,69.6
4,18,2,bzip2,1.5862859904840692,15,70.0
4,18,2,omnetpp_r,0.7021832445269788,19,86.8
4,18,2,leslie3d,2.6660329081674403,17,79.0
4,18,2,povray,2.904614035714886,13,61.8
4,18,2,GemsFDTD,2.215882912800244,17,80.0
4,18,2,GemsFDTDREPEAT,2.506140975736978,15,64.6
4,18,2,povray_r,3.8887818351023147,13,62.0
