politica;mezcla;run;energia;timepo
0;16;0;3.095,87;123,083689330
0;16;1;3.055,11;123,014154419
0;17;0;2.801,33;115,311882458
0;17;1;2.762,85;115,155631226
0;18;0;3.312,45;127,883667844
0;18;1;3.237,97;127,747378437
4;16;0;2.116,60;87,549309071
4;16;1;2.300,34;96,395198333
4;17;0;1.966,87;85,645557833
4;17;1;1.809,41;79,212819138
4;18;0;2.268,01;88,208306782
4;18;1;2.281,97;88,815035201
