app_name,time_seconds,cores,cpu_core/instructions/,cpu_core/cycles/,cpu_core/TOPDOWN.SLOTS/,cpu_core/topdown-retiring/,cpu_core/topdown-bad-spec/,cpu_core/topdown-fe-bound/,cpu_core/topdown-be-bound/,cpu_core/topdown-mem-bound/,cpu_core/ARITH.DIV_ACTIVE/,cpu_core/EXE_ACTIVITY.BOUND_ON_LOADS/,cpu_core/MEMORY_ACTIVITY.STALLS_L1D_MISS/,cpu_core/MEMORY_ACTIVITY.STALLS_L2_MISS/,cpu_core/MEMORY_ACTIVITY.STALLS_L3_MISS/,cpu_core/EXE_ACTIVITY.BOUND_ON_STORES/,cpu_core/RESOURCE_STALLS.SCOREBOARD/,cpu_core/CYCLE_ACTIVITY.STALLS_TOTAL/,cpu_core/EXE_ACTIVITY.1_PORTS_UTIL/,cpu_core/EXE_ACTIVITY.2_PORTS_UTIL/,cpu_core/EXE_ACTIVITY.3_PORTS_UTIL/,cpu_core/mem_load_retired.l1_miss/,cpu_core/mem_load_retired.l2_miss/,cpu_core/mem_load_retired.l3_miss/,cpu_core/uops_executed.core_cycles_ge_3/,cpu_core/CPU_CLK_UNHALTED.THREAD/
imagick_r,385.6,0,4800725061628,1148881072299,6893271512989,5122022540685,406916354475,728627645201,664894353096,78865280955,708930815,23519133579,2503098606,1923793420,512336470,473866842,1845580100,48541040610,34688556435,76757652124,197150202855,3838906509,22848419,2286357,989696400538,1149267193430
lbm,290.8,4,1495335985192,866376201489,5198380825065,1628734193328,210195670,812949718615,2760830650482,565666876842,63853133233,78513932833,35080434674,31047606283,26302056266,15997817854,1571210844,129573186573,172664881199,240111399998,121517430960,5775376643,248146873,233189184,325611184351,866637351272
lbm_r,202.2,8,1420884294100,602919825568,3617677235723,1374768149527,2397608984,18515769625,2223335694204,1847427450675,56474097325,76998124400,58035155381,54071744637,41353955459,228344175332,1082259641,117301018607,68099766845,99476711204,89986557361,9425942591,511786780,499790745,318769149802,603055243891
leela_r,498.2,4,2225163805552,1482092235603,8893074523818,2199003206097,3226386357426,2814463669835,790272019820,171974919693,35020629094,160228712263,11458516167,2822658361,276248645,2637536482,1170096258,479848009813,184810354305,197437781529,198825498454,3982940087,138890728,2169874,621812791154,1482561537171
leslie3d,288.8,8,2761550155662,859143953555,5154940465893,2812690648704,68557255458,763284486068,1518074966292,573667480676,189439936950,80004653906,60459555785,56987689615,48199569388,10124607371,2615723768,91765041512,47744627019,62582107249,80717191416,24605093142,1212360239,783333548,659634615329,859444401196
libquantum,367.8,12,3939220768791,1095907873128,6575762510073,3983843956495,90367393893,690947600087,1982556250828,1339022341877,11891795985,218831807994,207092607863,201968201672,132675235698,132834664,1863340306,225044038600,38525736116,71754443528,105338010776,27689843421,5120013594,4639564330,761398809260,1096163839581
mcf,192.8,0,480804895801,571695212675,3430179834509,434862503409,766981862468,308581682865,1943540516012,1331163246943,18182727,272769388609,251037461042,223012163469,126861342424,1039654082,1178336761,304591070872,63202460856,39048083354,36993759040,20837665995,5283871414,1380700037,166339124346,571906893906
mcf_r,316.8,4,923518528473,942152763590,5653202035275,832313950564,1609227475914,1730091498736,1574413537135,865905931080,10639459704,240417664860,181448537568,158230341196,93230871418,16794774508,1394704942,383893516175,144962762145,111523095145,106568057174,28291314788,6546060222,2772377978,302935944528,942462343355
milc,377.8,4,1517456372670,1125318970107,6752171282266,1770773638503,26000743329,937817845373,4098228140721,3079782626573,558251188,561597047363,530609899417,522649227907,465919160268,16689809821,20578947621,597304555212,135370377807,141268177186,79088193841,12604548553,7169527683,6871778596,253788738470,1125637962941
nab_r,276.0,8,1739281477650,822652382879,4936148074229,1738840146789,692667691632,509446390649,2025888364549,163221651189,328807714131,53959820314,6260364634,2645108471,2013811610,159265728,875799417,113640835116,115953464554,155125772368,157408448050,5766115331,19181751,8712792,438836500776,822876635868
namd,393.2,8,2930348815611,1171026407948,7026561535060,3255745668488,637340665234,1504597867368,1647360072973,110928458989,86436925,52965702135,6080954109,2672894883,2192426852,383134657,1220750770,91966299192,156381651453,268034727417,267974933289,6669801073,63525959,54082714,656212600116,1171436163790
namd_r,180.6,12,1966759155580,537768053311,3226821616133,1977270608291,279500360231,131517741141,850217236338,213241773776,6628132,49704456606,8371535544,5974939089,5365873850,1278110211,468878141,65317717163,16781900209,32176949519,51364921245,8754092411,79082721,58137467,423937285120,537924344653
omnetpp,195.6,12,780485697614,581913595472,3491689971100,799559026872,432715803422,351974222701,1915112797771,1578432614736,1759385874,243351496395,220303173729,210204831497,151851094949,58079562202,2697908947,279363687435,60539890102,50783981793,47488237406,9074863534,4447012444,1229025553,191895841048,582121309382
omnetpp_r,349.4,12,1095930625724,1038825661925,6233273722169,1056803433597,984698320478,927680532028,3281019156136,2681182441745,11250047,512102586527,489165022981,469312239582,388133353920,11965500353,1891507234,556102752393,97021143787,81610631474,78176985885,14447992990,5787287841,3289889100,306084018072,1039201908565
parest_r,453.8,0,3388165879535,1349695561484,8098192690437,3273211207571,659095671554,883084228585,3357893636153,1507623620262,5254031125,366222119809,79846134028,48255583653,9550290468,11295646722,2376754017,424041869883,194219811779,116872504243,123043918959,25216480382,1811325446,65627262,617195047805,1350233733051
perlbench,123.8,0,1178760383617,366324329883,2197987896740,1098983700707,313752103020,602372230949,193564138710,70549825280,22386163,28720882592,10808309473,7772179824,2894982034,513335458,5677022823,67185090091,26527038633,32056094807,37848525100,1695880497,132980314,15394389,240524920460,366446608063
povray,137.8,4,1212405175922,410372219303,2462362473647,1333142896633,173539013897,667792407099,295183521480,80041444320,22868364702,17833421165,945768730,126036870,7292307,9586548018,7607217112,47530844458,38112090419,52468821796,55624984541,1399174985,1315319,37316,272273373445,410500856929
povray_r,310.0,4,3572428570391,923122717660,5538893319467,3551068478615,376345735600,1053896406840,573495717121,137148862023,72321086520,51053571120,9038277467,285414959,48459674,4488434493,704661030,73985541715,52906356574,81274852787,109749906561,24020013934,3055852,273150,715413631545,923445141771
sjeng,450.0,8,2634628817056,1339777326759,8039022249000,2534010309108,1562176181508,3086924939154,928756244741,590289948117,9924445586,208984213752,97039905035,92821350350,77069004131,1505524628,88882973308,422189359909,147761001491,168091738884,156924606289,1826380220,774096269,493667916,602314873825,1340238005808
soplex,101.2,12,469666753001,300977117069,1805992086820,517103002430,541923252539,233870699609,534375106569,252227831128,9694622197,49984636385,38384699348,30123966325,5777010176,11822243742,2359835165,80574480014,31682307889,40290528627,42491072804,10461952156,2016544487,55978004,148606737367,301085704374
sphinx3,435.2,0,2825165055602,1281941503753,7691580386926,3257494140606,889874331427,2499542861564,1114868114487,443085778338,4470320067,119777898117,75000820643,66850279197,8852954613,9013845831,7117614498,207076595994,121514676517,198704952474,263728095091,10945979962,2210737160,57340724,756959003945,1282433911432
tonto,606.2,4,3469732111332,1804064344684,10824695188484,4025224790707,889724320806,3561697349905,2385029037252,427386974908,63107542640,92818224783,10715413437,6108656065,3038886031,14997874495,206975661044,490007544711,299998037454,233297830379,181335402667,13630337333,213109431,35814147,772246417796,1804672244327
wrf,566.2,8,4296211644348,1686085340453,10116988905787,4758546954789,515807130476,3333715346871,1664993112455,529894354983,244430266098,86949112722,20977453547,18543800963,15250199371,26241747086,90544538250,289179755371,203487519371,194569569279,201613617277,9752640209,397910671,218973808,997527912198,1686559249493
x264_r,51.8,4,472588107560,108846167180,653113806692,453926820279,45428785544,117066257223,41465894014,17303749266,3882211,4736955791,1849668463,1654501850,1392899866,104725836,199928010,10528489551,3876081808,7854642421,15337452070,309710450,18145970,11322350,86636081137,108882622914
xalancbmk,317.2,12,1342385655700,944574083755,5667749563611,1479309397047,217035623409,572829997130,3491996587433,2815402363540,70262664,506365115842,204704686936,98443339573,36873413602,6204099257,22576945409,542448472287,73515837977,59401967462,54643648433,21240212404,2151784930,207587844,270636949722,944887716976
xalancbmk_r,241.2,0,1282751604354,717639352807,4305884153821,1007469081271,154745275794,524908028429,2621309534688,1851634108073,274655891,348669150493,199413546897,37343334153,5914652911,842343825,880211912,362288102862,78389935989,58521799067,84128929764,45872580056,2328642094,70671791,220116970929,717872124737
zeusmp,618.2,0,2420892720575,1838211409173,11029465941166,2963754310656,615006055382,2316898668938,5200622195819,1449165490823,287112249606,336716897917,63498980100,56030722285,51551946006,13455582309,153308371983,652573758505,345175531143,287332648003,221582335238,12368328999,849781714,668214470,547445068794,1838857101738
