politica,mezcla,run,app,ipc,nucleos,tiempo   //YA USADO PTIMERA EJECUCIÓN
0,0,1,gamess,3.5460446457261336,0,98.6
0,0,1,gobmk,1.5016585340396813,0,105.0
0,0,1,zeusmp,1.4880729069222973,0,108.2
0,0,1,mcf_r,0.8877054343063118,0,187.0
0,0,1,lbm,1.3675871100488808,0,181.8
0,0,1,lbmREPEAT,1.367337463690117,0,181.8
0,0,1,deepsjeng_r,1.9222487941160666,0,117.8
0,0,1,nab_r,1.5605923583943484,0,145.0
0,0,1,,3.5403402777537227,0,88.2
0,0,1,REPEAT,1.4927481155737592,691,282.2
0,0,2,gamess,3.542941234100653,0,98.6
0,0,2,gobmk,1.5020113755849624,0,105.0
0,0,2,zeusmp,1.476167399210413,0,109.2
0,0,2,mcf_r,0.8875677400266948,0,187.0
0,0,2,lbm,1.3675286418402486,0,181.8
0,0,2,lbmREPEAT,1.3673297947565666,0,181.8
0,0,2,deepsjeng_r,1.9229999925790109,0,117.6
0,0,2,nab_r,1.5622269561623219,0,144.8
0,0,2,,3.5381164939657612,0,88.2
0,0,2,REPEAT,1.4729088253658191,693,281.6
0,1,1,xalancbmk,1.8100973873635187,0,118.0
0,1,1,bzip2,1.7020443085972277,0,128.6
0,1,1,mcf_r,0.9173130744324172,0,181.0
0,1,1,hmmer,1.581317402351944,0,101.4
0,1,1,GemsFDTD,1.8420210646723298,0,195.2
0,1,1,tonto,1.5182995483707427,0,204.4
0,1,1,libquantum,2.8248850744433076,0,199.0
0,1,1,imagick_r,3.471838709814807,0,65.2
0,1,1,,1.817363843472459,1,139.0
0,1,1,REPEAT,1.8139342207722886,864,303.0
0,1,2,xalancbmk,1.8125415094275281,0,117.8
0,1,2,bzip2,1.7003315376965296,0,128.8
0,1,2,mcf_r,0.8874984007333109,0,187.0
0,1,2,hmmer,1.5808606992144663,0,101.6
0,1,2,GemsFDTD,1.8425164004646089,0,195.2
0,1,2,tonto,1.520970636223669,0,204.0
0,1,2,libquantum,2.825584910991986,0,199.0
0,1,2,imagick_r,3.3670241154179177,0,67.2
0,1,2,,1.8123300331060104,1,136.6
0,1,2,REPEAT,1.8070292516218245,862,294.4
0,2,1,gamess,3.5392447651051504,0,99.2
0,2,1,leslie3d,3.3627482945663663,0,101.8
0,2,1,milc,1.3531494273167477,0,91.8
0,2,1,lbm_r,2.2800633050752226,0,72.8
0,2,1,mcf,0.5037135285514208,0,288.8
0,2,1,sphinx3,1.4155242451647772,0,207.4
0,2,1,namd,1.5751951627726901,0,220.4
0,2,1,namdREPEAT,1.5761862219347036,0,220.2
0,2,1,,3.5334046202347387,0,215.8
0,2,1,REPEAT,2.0376973941100425,813,791.8
0,2,2,gamess,3.538616349389224,0,99.2
0,2,2,leslie3d,3.37057864606207,0,101.6
0,2,2,milc,1.146241662890689,0,108.4
0,2,2,lbm_r,2.2928508766456077,0,72.4
0,2,2,mcf,0.5203270870830338,0,279.6
0,2,2,sphinx3,1.4247872629614726,0,206.0
0,2,2,namd,1.5758917070194316,0,220.2
0,2,2,namdREPEAT,1.577361949336378,0,220.0
0,2,2,,3.5314831996986635,0,207.0
0,2,2,REPEAT,2.02856887532148,735,722.0
0,3,1,astar,1.2496829759504973,0,116.2
0,3,1,mcf_r,0.899140116234025,1,264.2
0,3,1,hmmer,1.5795494676363124,0,101.6
0,3,1,leela_r,1.5509425669253065,0,107.0
0,3,1,sjeng,1.6960074120326483,0,155.2
0,3,1,mcf_rREPEAT,0.8573142996529093,0,175.4
0,3,1,omnetpp_r,0.7876843591152071,0,287.4
0,3,1,nab_r,1.5577860519925835,0,145.2
0,3,1,,1.2024005920115475,0,185.6
0,3,1,REPEAT,1.5336214232096534,1421,761.0
0,3,2,astar,1.2545216588882304,0,115.6
0,3,2,mcf_r,0.9005858797021836,1,264.2
0,3,2,hmmer,1.580996083725482,0,101.6
0,3,2,leela_r,1.5532206944304656,0,106.8
0,3,2,sjeng,1.6933503122860236,0,155.4
0,3,2,mcf_rREPEAT,0.8580780330138216,0,175.0
0,3,2,omnetpp_r,0.7888584179978061,0,287.0
0,3,2,nab_r,1.5564345624202756,0,145.4
0,3,2,,1.2044754002408569,0,185.2
0,3,2,REPEAT,1.5325580595306532,1415,759.4
1,0,1,gamess,3.573794397623649,0,97.6
1,0,1,gobmk,1.4461017820676978,49,128.2
1,0,1,zeusmp,1.3072028621354075,35,152.6
1,0,1,mcf_r,0.7820696972844796,1,289.2
1,0,1,lbm,1.5272783214992776,21,145.4
1,0,1,lbmREPEAT,1.5430116484301195,9,122.2
1,0,1,deepsjeng_r,1.9081274955294572,4,86.6
1,0,1,nab_r,2.014609449003549,10,86.4
1,0,1,,3.576143664159108,0,202.6
1,0,1,REPEAT,1.8667089282944764,2467,1002.4
1,0,2,gamess,3.545111953801227,0,98.4
1,0,2,gobmk,1.4394604989134812,56,127.2
1,0,2,zeusmp,1.299664799084297,33,155.6
1,0,2,mcf_r,0.7756473964656869,1,291.4
1,0,2,lbm,1.5867139495784335,17,133.2
1,0,2,lbmREPEAT,1.6140379637897027,15,128.4
1,0,2,deepsjeng_r,1.9105458813158256,6,86.2
1,0,2,nab_r,2.0881346980828437,8,79.6
1,0,2,,3.5661375122612413,0,211.6
1,0,2,REPEAT,1.8767148675519456,2263,1019.2
1,1,1,xalancbmk,1.8545363899099157,5,139.0
1,1,1,bzip2,1.5404424403312507,73,159.4
1,1,1,mcf_r,0.8184156929376823,1,276.2
1,1,1,hmmer,1.5636752878332105,54,115.4
1,1,1,GemsFDTD,2.6376070792504547,8,103.6
1,1,1,tonto,1.6876207094609148,14,165.0
1,1,1,libquantum,3.7105484765033,2,110.8
1,1,1,imagick_r,4.5301070670321675,0,36.6
1,1,1,,1.4022058037729208,17,239.4
1,1,1,REPEAT,3.0471587349317644,2198,863.8
1,1,2,xalancbmk,1.8347789403317531,7,140.2
1,1,2,bzip2,1.5363285094967576,69,160.8
1,1,2,mcf_r,0.8228840610077545,1,274.8
1,1,2,hmmer,1.5616641153897877,54,115.6
1,1,2,GemsFDTD,2.613677953230066,14,104.4
1,1,2,tonto,1.6912744034260332,22,162.2
1,1,2,libquantum,3.702278921584885,2,111.0
1,1,2,imagick_r,4.527589767437429,0,36.6
1,1,2,,1.4010371960496195,21,238.0
1,1,2,REPEAT,3.0454384749206276,2230,854.4
1,2,1,gamess,3.537978225816999,0,98.6
1,2,1,leslie3d,3.3722429579862476,0,101.6
1,2,1,milc,1.0056319215467027,1,168.0
1,2,1,lbm_r,2.9678540067559647,0,56.0
1,2,1,mcf,0.5085158620013992,1,285.6
1,2,1,sphinx3,1.462819702202892,1,200.4
1,2,1,namd,1.7487371594826204,2,188.0
1,2,1,namdREPEAT,2.501040272667123,0,101.8
1,2,1,,3.5696380545621875,0,229.4
1,2,1,REPEAT,2.047952730930655,1262,855.0
1,2,2,gamess,3.5796385894050946,0,97.4
1,2,2,leslie3d,3.3691646932812427,0,101.6
1,2,2,milc,1.0055392819505713,1,168.0
1,2,2,lbm_r,2.974616195058517,0,55.8
1,2,2,mcf,0.5067827655033236,1,286.6
1,2,2,sphinx3,1.4646180393332213,1,200.0
1,2,2,namd,1.7490916043218878,2,187.8
1,2,2,namdREPEAT,2.5007413519543014,0,101.8
1,2,2,,3.5705476264980125,0,230.6
1,2,2,REPEAT,2.0485841753488536,1274,862.8
1,3,1,astar,1.1908456203496238,2,157.0
1,3,1,mcf_r,0.8237346448035527,1,274.4
1,3,1,hmmer,1.578424732671544,0,101.6
1,3,1,leela_r,1.547770337606596,2,107.0
1,3,1,sjeng,1.899489095737853,0,101.6
1,3,1,mcf_rREPEAT,0.8244236917470317,1,263.8
1,3,1,omnetpp_r,0.7384650340095481,1,305.8
1,3,1,nab_r,2.1123717152327686,0,78.6
1,3,1,,1.2603832926084924,1,227.0
1,3,1,REPEAT,1.5766668216455202,1442,829.2
1,3,2,astar,1.1840863458635091,2,157.8
1,3,2,mcf_r,0.8203455902515003,1,275.6
1,3,2,hmmer,1.5802415280914723,0,101.6
1,3,2,leela_r,1.5486464784115515,2,107.0
1,3,2,sjeng,1.8991671584869165,0,101.6
1,3,2,mcf_rREPEAT,0.820991242462735,1,264.2
1,3,2,omnetpp_r,0.7390895465184959,1,305.4
1,3,2,nab_r,2.111544018235196,0,78.6
1,3,2,,1.2597229637270901,1,226.6
1,3,2,REPEAT,1.5748969747343773,1418,824.4
2,0,1,gamess,2.705521691117807,1,175.6
2,0,1,gobmk,1.5192216428797387,123,87.0
2,0,1,zeusmp,1.565998103140863,229,69.6
2,0,1,mcf_r,0.9285610028065071,0,178.6
2,0,1,lbm,1.630499292001406,319,66.2
2,0,1,lbmREPEAT,1.6331833561701201,314,66.0
2,0,1,deepsjeng_r,1.9268148882537752,5,115.8
2,0,1,nab_r,1.861714509760328,233,57.2
2,0,1,,2.0349603716840114,247,121.2
2,0,1,REPEAT,1.6996729911923847,1443,491.2
2,0,2,gamess,2.7057273621033544,1,175.6
2,0,2,gobmk,1.5170588529831497,112,88.6
2,0,2,zeusmp,1.5445779711478198,227,71.8
2,0,2,mcf_r,0.9262998104553604,2,179.0
2,0,2,lbm,1.6377037225797557,312,66.4
2,0,2,lbmREPEAT,1.6319477781959983,318,65.8
2,0,2,deepsjeng_r,1.9159508616460337,13,114.4
2,0,2,nab_r,1.850927068598955,231,58.2
2,0,2,,2.032934168663054,238,120.6
2,0,2,REPEAT,1.69888926695975,1401,491.2
2,1,1,xalancbmk,2.421701975639154,199,64.8
2,1,1,bzip2,1.6634598146481385,165,112.8
2,1,1,mcf_r,0.9154821123671744,2,182.2
2,1,1,hmmer,1.5744007781167737,56,99.4
2,1,1,GemsFDTD,2.453273272544723,301,64.0
2,1,1,tonto,2.1962006160269785,198,83.2
2,1,1,libquantum,2.775132146766188,51,188.4
2,1,1,imagick_r,3.6296050456121494,1,62.0
2,1,1,,1.5590236189260247,15,126.2
2,1,1,REPEAT,2.0111469634616914,1382,523.8
2,1,2,xalancbmk,2.4030650860370564,195,66.8
2,1,2,bzip2,1.6469421806559708,165,113.8
2,1,2,mcf_r,0.9158375438332694,0,182.6
2,1,2,hmmer,1.5751506138728426,54,99.6
2,1,2,GemsFDTD,2.525790572591942,290,62.8
2,1,2,tonto,2.2659008002256003,186,81.6
2,1,2,libquantum,2.715364934037694,27,199.4
2,1,2,imagick_r,3.6264723557990104,1,62.0
2,1,2,,1.5289252761674197,23,137.2
2,1,2,REPEAT,1.9719343689668092,1586,589.0
