mezcla,politica,run,app,ipc,nucleos
1,4,1,gamess,3.5875511761969556,0,599.8
1,4,1,gobmk,1.469125742649256,1569,599.8
1,4,1,zeusmp,1.1818353739321772,903,599.8
1,4,1,mcf_r,0.8397691908966225,641,599.8
1,4,1,lbm,1.5326099163199285,2068,599.8
1,4,1,lbmREPEAT,1.5604530376193224,2045,599.8
1,4,1,deepsjeng_r,1.9249320133431558,384,599.8
1,4,1,nab_r,2.120127513167743,0,599.8
1,4,2,gamess,3.5882759832464504,0,599.8
1,4,2,gobmk,1.4660016983221866,1556,599.8
1,4,2,zeusmp,1.1830863288076683,921,599.8
1,4,2,mcf_r,0.8356908838766464,641,599.8
1,4,2,lbm,1.550936938752068,2106,599.8
1,4,2,lbmREPEAT,1.5758739478179864,1955,599.8
1,4,2,deepsjeng_r,1.9205660999923166,413,599.8
1,4,2,nab_r,2.120677438912837,0,599.8
2,4,1,xalancbmk,1.2946403508070348,671,599.8
2,4,1,bzip2,1.5409001989831643,1610,599.8
2,4,1,mcf_r,0.8946769473319022,671,599.8
2,4,1,hmmer,1.5688343080455718,1901,599.8
2,4,1,GemsFDTD,2.0298001204495733,1350,599.8
2,4,1,tonto,1.565634238152976,619,599.8
2,4,1,libquantum,3.6768365491086374,2,599.8
2,4,1,imagick_r,4.24294889375581,0,599.8
2,4,2,xalancbmk,1.1998756398693695,405,361.0
2,4,2,bzip2,1.523537636272954,945,361.0
2,4,2,mcf_r,0.863166178135684,383,361.0
2,4,2,hmmer,1.571054445538245,1125,361.0
2,4,2,GemsFDTD,2.045236155122836,774,361.0
2,4,2,tonto,1.6463906340263055,362,361.0
2,4,2,libquantum,3.686353473632975,8,361.0
2,4,2,imagick_r,4.190020858052523,0,361.0
3,4,1,gamess,3.5879185793405033,2,599.8
3,4,1,leslie3d,3.0398063954031467,600,599.8
3,4,1,milc,1.0781239852832056,625,599.8
3,4,1,lbm_r,2.9033940399845974,0,599.8
3,4,1,mcf,0.5774317069791572,631,599.8
3,4,1,sphinx3,1.5537419962809056,603,599.8
3,4,1,namd,2.1771125368687763,402,599.8
3,4,1,namdREPEAT,2.1742729541406933,385,599.8
3,4,2,gamess,3.583266806980516,2,599.8
3,4,2,leslie3d,3.099107995990809,600,599.8
3,4,2,milc,1.0778012438561657,621,599.8
3,4,2,lbm_r,2.9204963063786056,0,599.8
3,4,2,mcf,0.5737390831639034,635,599.8
3,4,2,sphinx3,1.5499387414167491,603,599.8
3,4,2,namd,2.1281404112794924,450,599.8
3,4,2,namdREPEAT,2.221028545115947,363,599.8
4,4,1,astar,1.1840322682722786,465,599.8
4,4,1,mcf_r,0.8966920881827919,719,599.8
4,4,1,hmmer,1.5726293289483466,1160,599.8
4,4,1,leela_r,1.480691581132264,1242,599.8
4,4,1,sjeng,1.8918207616152212,656,599.8
4,4,1,mcf_rREPEAT,0.9079685905533983,737,599.8
4,4,1,omnetpp_r,0.8489438273319846,601,599.8
4,4,1,nab_r,2.1209103138655614,0,599.8
4,4,2,astar,1.1827120374229234,463,599.8
4,4,2,mcf_r,0.895221059816507,709,599.8
4,4,2,hmmer,1.57288255193367,1164,599.8
4,4,2,leela_r,1.4779114503079709,1246,599.8
4,4,2,sjeng,1.8927474927106471,652,599.8
4,4,2,mcf_rREPEAT,0.90629345292096,743,599.8
4,4,2,omnetpp_r,0.8470699638583052,599,599.8
4,4,2,nab_r,2.1224270697168075,0,599.8
