politica,mezcla,run,app,ipc,nucleos,tiempo
1,0,1,gamess,3.5449116885127974,0,60.8
1,0,1,gobmk,1.4330773345712882,27,73.8
1,0,1,zeusmp,1.3630972287901124,23,80.8
1,0,1,mcf_r,0.8127412305071169,1,89.6
1,0,1,lbm,1.553254443826108,9,80.6
1,0,1,lbmREPEAT,1.5284110691847133,7,71.6
1,0,1,deepsjeng_r,1.9161302667109295,6,58.6
1,0,1,nab_r,2.072400654960658,6,59.8
1,0,2,gamess,3.5403241160699785,0,60.8
1,0,2,gobmk,1.444983018360133,33,71.8
1,0,2,zeusmp,1.3694579496680084,25,78.8
1,0,2,mcf_r,0.7894839792199269,1,92.2
1,0,2,lbm,1.5503942687855956,11,93.4
1,0,2,lbmREPEAT,1.4253078714585266,3,61.8
1,0,2,deepsjeng_r,1.9127517440112534,4,59.0
1,0,2,nab_r,2.060057995664497,6,60.6
1,1,1,xalancbmk,2.991941273622297,1,57.2
1,1,1,bzip2,1.5462469413503426,27,75.2
1,1,1,mcf_r,0.837789830715992,1,86.8
1,1,1,hmmer,1.5574688389836162,24,74.2
1,1,1,GemsFDTD,2.5726084791324895,10,63.0
1,1,1,tonto,2.1263162138159126,17,80.4
1,1,1,libquantum,3.7887175407678724,2,49.0
1,1,1,imagick_r,4.487415233696598,0,60.0
1,1,2,xalancbmk,2.9458716030430976,5,58.4
1,1,2,bzip2,1.5271705521769807,23,77.4
1,1,2,mcf_r,0.8350147829323047,1,87.2
1,1,2,hmmer,1.5608626024968013,22,74.4
1,1,2,GemsFDTD,2.613005405171714,10,61.0
1,1,2,tonto,2.0755080313745333,11,84.6
1,1,2,libquantum,3.801329281544298,0,49.0
1,1,2,imagick_r,4.484432891581991,0,60.0
1,2,1,gamess,3.576375232799693,0,60.2
1,2,1,leslie3d,3.3724740216992255,0,53.4
1,2,1,milc,1.0189568362923962,1,109.8
1,2,1,lbm_r,2.994295283353952,0,60.4
1,2,1,mcf,0.5666319361349011,1,141.4
1,2,1,sphinx3,1.4765730748894117,1,107.4
1,2,1,namd,1.5661023548914097,1,130.2
1,2,1,namdREPEAT,2.500225625523985,0,60.0
1,2,2,gamess,3.5335332199094696,0,60.8
1,2,2,leslie3d,3.36856779930241,0,53.4
1,2,2,milc,1.0550242128218479,3,105.6
1,2,2,lbm_r,2.967778729121638,0,61.0
1,2,2,mcf,0.5465045253875498,1,146.6
1,2,2,sphinx3,1.3898661948248199,3,113.4
1,2,2,namd,1.5662711507633387,1,130.2
1,2,2,namdREPEAT,2.4882185997773627,2,60.2
1,3,1,astar,0.6620450822528601,1,81.8
1,3,1,mcf_r,0.8503584774164034,1,84.0
1,3,1,hmmer,1.5792183133481261,0,59.8
1,3,1,leela_r,1.5221943525282526,6,59.2
1,3,1,sjeng,1.8941816218088812,0,59.4
1,3,1,mcf_rREPEAT,0.8542844289752262,5,83.0
1,3,1,omnetpp_r,0.7529744642489956,1,90.8
1,3,1,nab_r,2.1041665183725593,0,58.4
1,3,2,astar,0.661582061389749,1,82.0
1,3,2,mcf_r,0.8545153964196514,1,85.0
1,3,2,hmmer,1.579999045385376,0,59.8
1,3,2,leela_r,1.5226687487118025,2,59.8
1,3,2,sjeng,1.8940302332509753,0,59.4
1,3,2,mcf_rREPEAT,0.8567324031191823,1,82.6
1,3,2,omnetpp_r,0.7510150664024023,1,91.0
1,3,2,nab_r,2.105450287968943,0,58.4
