79000  // Tiempo de instrucciones de 1 minuto en P
128800
106800
85800
128000
85800
107400
94000
78000
107200
103200
107800
81800
120400
94600
82400
148600
97600
132000
83600
97200
83400
93600
82600
99200
107400
129600
112000
72400
63800
119600
95800
112000
118800
85400
84800
102400
111200
122600
70600
97400
106400
95800
