politica;mezcla;run;energia;timepo
5;1;0;2.028,28;79,136752577
5;1;1;2.024,74;79,569736595
5;2;0;2.313,41;90,499335000
5;2;1;2.201,19;87,085653339
5;3;0;2.801,47;112,707045567
5;3;1;2.885,60;112,305379107
5;4;0;1.791,13;75,708042480
5;4;1;1.788,30;75,929819908
5;5;0;8.811,46;369,406245267
5;5;1;8.215,42;349,241899380
5;6;0;8.470,72;361,541526086
5;6;1;8.102,09;349,286710080
5;7;0;8.334,99;357,344858513
5;7;1;8.293,79;355,512574365
5;8;0;8.548,07;363,551494750
5;8;1;7.917,85;342,139474692
5;9;0;8.049,52;346,622310574
5;9;1;8.282,01;355,334226487
5;10;0;8.172,39;354,631818451
5;10;1;8.214,14;357,135115018
5;11;0;8.525,78;368,013091279
5;11;1;8.247,84;357,344316719
5;12;0;8.100,32;350,853240538
5;12;1;7.908,13;341,984606337
5;13;0;7.806,75;336,139393008
5;13;1;8.286,59;354,115549676
5;14;0;8.217,27;356,633861531
5;14;1;8.115,12;349,662131981
5;15;0;8.243,74;356,111874294
5;15;1;;
